0;"['hotel', 'lojas', 'rua', 'quartos', 'elevador']"
1;"['serviço', 'limpeza', 'toalhas.', 'serviço', 'hotel', 'rua']"
2;"['limpeza', 'secadores', 'toalhas']"
3;"['localização', 'hotel', 'apartamento', 'café da manhã']"
4;"['localização', 'hotel', 'rua', 'quarto']"
5;"['localização', 'quarto', 'café da manhã', 'internet']"
6;"['localização', 'café da manhã', 'Hotel']"
7;"['Hotel', 'quarto', 'aquecimento', 'atendimento', 'funcionários']"
8;"['quartos', 'hotel', 'localização.', 'recepção', 'café da manhã']"
9;"['tamanho', 'quarto']"
10;"['localização', 'Quarto', 'café da manhã', 'hotel']"
11;"['padrão', 'hotel.', 'toalhas', 'secador.', 'serviço', 'hotel/atendimento', 'elevador']"
12;"['cidade', 'cama', 'quarto', 'tv', 'recepção', 'hotel']"
13;"['Acomodação', 'quarto', 'localização', 'café da manhã']"
14;"['camareiras', 'internet']"
15;"['Atendimento', 'localização', 'hotel', 'estacionamento.']"
16;"['hotel..Las', 'aeroporto', 'Quarto', 'cama']"
17;"['quarto', 'camas', 'televisão', 'ducha', 'banheira.', 'localização', 'café da manhã', 'jantar', 'horário']"
18;"['quarto', 'serviços']"
19;"['hotel']"
20;"['hotel', 'quartos', 'cama', 'casal.', 'serviço', 'limpeza de quarto.', 'gerente']"
21;"['hotel.', 'ruas', 'funcionários', 'localização', 'custo-benefício']"
22;"['Quarto', 'hotel']"
23;"['torneira', 'quarto', 'café da manhã', 'televisão']"
24;"['hotel', 'localização', 'cidade.']"
25;"['Quartos', 'cortina', 'Pia', 'Corredores', 'hotel']"
26;"['quarto', 'toalhas', 'lavatório']"
27;"['cama', 'ducha', 'quarto']"
28;"['hotel', 'quarto', 'escadas.', 'tapete']"
29;"['localização', 'feirinha', 'loja', 'café da manhã', 'quarto', 'elevador']"
30;"['localização', 'quarto', 'camas', 'molas', 'colchões.', 'tapetes.', 'toalhas']"
31;"['localização', 'quarto', 'corredor']"
32;"['hotel', 'quartos', 'serviço', 'frigobar']"
